isolate.code,source,isolation.latitude,isolation.longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.wlist,mu.alist,mu.blist,mu.slist,mu.c.opt.list,mu.c.opt.val.list,mu.g.opt.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis
1,"Terra Nova Bay, Ross Sea, Antarctica",-74.83,164.5,marine,Koliella antarctica strain SAG 2030,Koliella antarctica,,,SAG 2030,,antarctica,Koliella,Koliellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,,greens,0.999999871,17.31574077,0.21800623,0.034377373,3.27E-05,11.34215425,0.321963151,12.60374739,0.329094664,4,0.3,2.684283869,20.00002464,good,good,good,-40.32025666,-0.007766048,1,1,1,1,1
2,"Windmill Islands, Antarctica",-66.28,110.48,marine,Chlamydomonas strain UMACC 229,Chlamydomonas ,,,UMACC 229,,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,,greens,0.967585782,99.0503214,6.772617453,-0.161310754,0.021562461,51.82429411,0.001585384,8.111938078,0.404378677,6,0.4,2.299133413,101.3494548,good,bad,bad,2015.539071,0.002074071,1,0,1,0,1
3,"Windmill Islands, Antarctica",-66.28,110.48,marine,Klebsormidium strain UMACC 227,Klebsormidium ,,,UMACC 227,,,Klebsormidium,Klebsormidiaceae,Klebsormidiales,Klebsormidiophyceae,Charophyta,Plantae,Eukaryota,,charophytes,0.828473679,30.07227079,0.317142056,-0.026610623,0.028827769,16.50849532,0.204393787,13.61144785,0.212578531,6,0.25,1.472359922,31.54463071,good,good,good,277.8336301,0.010216124,0,0,0,0,0
5,"Arthur Harbor, Palmer Station, Antarctica",-64.78,-64.06,marine,Phaeocystis antarctica strain CCMP 1871,Phaeocystis antarctica,,,CCMP 1871,,antarctica,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,haptophytes,0.79427483,9.878668286,0.225190672,0.04226051,0.053901539,2.953021949,0.255122466,3.462879644,0.257901615,6,0.35,-1.986312195,7.892356092,good,good,good,-5.192226542,-0.005702503,1,1,1,1,1
7,"Southern Ocean, Indian sector",-58,62,marine,Chaetoceros deflandrei,Chaetoceros deflandrei,,,,,deflandrei,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.453877469,54.73300849,0.387864648,0.160492252,0.216934811,-11.05195393,0.065818665,10.78428942,0.795520167,19,0.876,-38.41845817,16.31455032,bad,good,bad,-220.0879981,-0.037026588,1,1,0,0,1
8,"Southern Ocean, Indian sector",-58,62,marine,Corethron pennatum,Corethron pennatum,Corethron criophilum,,,,pennatum,Corethron,Corethraceae,Corethrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.898849698,36.2699846,0.411815644,0.228541607,0.03976397,-11.17516829,0.032027178,3.104546875,0.31813072,10,0.375,-29.31016059,6.959824004,bad,good,bad,-11.95161673,-0.017780359,1,1,0,0,1
9,"Southern Ocean, Indian sector",-58,62,marine,Fragilariopsis cylindrus,Fragilariopsis cylindrus,Nitzschia cylindrus,,,,cylindrus,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.771290306,60.78701235,1.154743188,0.154104944,0.129174889,-20.04789488,0.052570416,4.541611732,0.803222422,12,0.852,-50.44140105,10.3456113,bad,good,bad,-20.75768293,-0.011585659,1,1,0,0,1
10,"Southern Ocean, Indian sector",-58,62,marine,Fragilariopsis kerguelensis,Fragilariopsis kerguelensis,Nitzschia kerguelensis,,,,kerguelensis,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.963297341,46.72698306,0.945593934,0.209331833,0.050000637,-15.37163266,0.03786553,3.69804854,0.684499727,10,0.78,-38.73512419,7.991858874,bad,good,bad,-16.97163276,-0.018077076,1,1,0,0,1
11,"Southern Ocean, Indian sector",-58,62,marine,Pseudo-nitzschia turgiduloides,Pseudo-nitzschia turgiduloides,Nitzschia turgiduloides,,,,turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.981582556,10.43111649,0.643384278,0.029396341,0.032195509,3.850833118,0.720497959,4.248702399,0.724732101,12,0.728,-1.364725126,9.066391361,good,good,good,-4.634105254,-0.004082945,1,1,1,1,1
12,"Southern Ocean, Indian sector",-58,62,marine,Stellarima microtrias,Stellarima microtrias,,,,,microtrias,Stellarima,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.986057174,53.6380976,1.365336985,0.200531148,0.038705903,-18.77756582,0.031616202,3.514375478,0.853921727,8,0.846,-45.59661462,8.041482978,bad,good,bad,-13.86723613,-0.014548167,1,1,0,0,1
