id.number,Species.name,Study,Environment,Optimum,Optimum.95CI.lower,Optimum.95CI.upper,Niche.width,Niche.width.95CI.lower,Niche.width.95CI.upper
1,Akashiwo sanguinea,Thomas et al. (1973),marine,23.39,22.57,24.15,20.53,19.26,22.86
2,Alexandrium catenella strain ACC02,Navarro et al. (2006),marine,14.22,3.05,17.24,21.6,6.36,76.2
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),marine,15.76,11.21,18.95,22.15,17.98,91.94
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),marine,16.97,13.04,19.68,21.05,16.93,83.28
5,Alexandrium minutum,Cannon (1993),estuarine,20.68,19.99,21.53,49.52,48.37,54.69
6,Alexandrium monilatum,Juhl (2005),marine,28.24,28.16,28.31,18.3,18.14,18.61
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),estuarine,20.33,19.9,20.71,17.18,16.57,17.97
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),estuarine,17.75,15.29,19.74,21.98,19.36,55.57
9,Amphiprora sp.,Hulburt (1982),marine,28.21,27.3,28.98,24.27,21.31,39.66
10,Apedinella radians,Throndsen (1976),estuarine,19.31,18.57,20.14,61.93,60.74,67.55
11,Asterionellopsis glacialis,Hulburt (1982),marine,27.9,23.89,29.48,40.58,26.28,82.52
12,Asterionellopsis glacialis,Hulburt (1982),marine,18.17,9.32,21.27,74.96,28.13,127.28
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),estuarine,23.34,21.89,24.36,81.5,32.49,82.74
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),marine,18.51,16.29,20.36,18.2,16.41,28.14
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),marine,15.47,10.22,20.64,18.4,14.24,69.77
16,Calciodinellum albatrosianum Geob*26/5,Meier et al. (2004),marine,32.38,21.31,105.64,53.46,27.65,222.53
17,Chaetoceros deflandrei,"Fiala & Oriol (1990), Jacques (1983)",marine,10.51,7.8,11.61,57.57,16.42,95.76
18,Chaetoceros didymus,Hulburt (1982),marine,21.22,18.74,24.28,24.41,21.96,41.93
19,Chaetoceros lorenzianus clone Bermuda,Hulburt (1982),marine,30.26,25.96,32.1,50.55,21.86,73.66
20,Chaetoceros lorenzianus clone Bushehr,Hulburt (1982),marine,25,22.47,27.43,25.35,23.44,29.71
21,Chaetoceros lorenzianus clone Slope water,Hulburt (1982),marine,29.62,27.46,30.87,57.17,26.74,72.66
22,Chaetoceros pseudocurvisetus,Suzuki & Takahashi (1995),marine,24.4,23.57,25.21,19.92,19.34,20.64
23,Chaetoceros sp.,Suzuki & Takahashi (1995),marine,3.55,-2.51,6.17,25.78,17.04,120.6
24,Chaetoceros sp.,Thomas (1966),marine,31.92,30.62,32.82,55.51,29.13,56.19
25,Chaetoceros sp. strain CS256,Renaud et al. (2002),estuarine,29.66,27.64,31.25,29.67,22.56,61.57
