topt,w,a,b,z,isolate.code,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,isolate_code,topt_variable,growth.rate,temperature_min,temperature_max,SD,Mean,diff,breadth_constant,max_diff,breadth_variable,breadth_diff
12.60374739,17.31574077,0.21800623,0.034377373,11.34215425,1,"Terra Nova Bay, Ross Sea, Antarctica",-74.83,164.5,marine,Koliella antarctica strain SAG 2030,Koliella antarctica,NA,NA,SAG 2030,NA,antarctica,Koliella,Koliellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.999999871,3.27e-5,0.321963151,0.329094664,4,0.3,2.684283869,20.00002464,good,good,good,-40.32025666,-0.007766048,1,1,1,1,1,1,12.600000000000001,0.32852374076706464,2.7,19.900000000000002,0.349318,-1.55859,0.003747389999999129,17.315740770999998,0.10002463999999733,17.200000000000003,0.11574077099999514
13.61144785,30.07227079,0.317142056,-0.026610623,16.50849532,3,"Windmill Islands, Antarctica",-66.28,110.48,marine,Klebsormidium strain UMACC 227,Klebsormidium,NA,NA,UMACC 227,NA,NA,Klebsormidium,Klebsormidiaceae,Klebsormidiales,Klebsormidiophyceae,Charophyta,Plantae,Eukaryota,NA,charophytes,0.828473679,0.028827769,0.204393787,0.212578531,6,0.25,1.472359922,31.54463071,good,good,good,277.8336301,0.010216124,0,0,0,0,0,3,13.600000000000001,0.2116257287304153,1.6,31.5,0.951273,-0.834923,0.011447849999997928,30.072270788,0.04463070999999985,29.9,0.17227078800000228
3.462879644,9.878668286,0.225190672,0.04226051,2.953021949,5,"Arthur Harbor, Palmer Station, Antarctica",-64.78,-64.06,marine,Phaeocystis antarctica strain CCMP 1871,Phaeocystis antarctica,NA,NA,CCMP 1871,NA,antarctica,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.79427483,0.053901539,0.255122466,0.257901615,6,0.35,-1.986312195,7.892356092,good,good,good,-5.192226542,-0.005702503,1,1,1,1,1,5,3.4000000000000004,0.24999345626921962,0,7.7,0.852225,-0.0736112,0.06287964399999968,9.878668287,0.1923560919999998,7.7,2.178668287
4.248702399,10.43111649,0.643384278,0.029396341,3.850833118,11,"Southern Ocean, Indian sector",-58,62,marine,Pseudo-nitzschia turgiduloides,Pseudo-nitzschia turgiduloides,Nitzschia turgiduloides,NA,NA,NA,turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.981582556,0.032195509,0.720497959,0.724732101,12,0.728,-1.364725126,9.066391361,good,good,good,-4.634105254,-0.004082945,1,1,1,1,1,11,4.2,0.7035346279824036,0,8.9,0.8847895,0.8729975000000001,0.04870239899999973,10.431116487,0.16639136100000051,8.9,1.5311164870000002
22.66390315,19.98928113,0.309317557,0.057277263,20.00589356,14,"Big Glory Bay, New Zealand",-46.98,168.12,marine,Emiliania huxleyi,Emiliania huxleyi,Coccolithus huxleyi,NA,NA,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.999974775,0.002154722,0.97287079,1.052731206,5,0.97595123,10.01125299,30.00053413,good,good,good,-111.0683409,-0.013905889,1,1,1,1,1,14,22.5,1.0274539093155735,10,29.700000000000003,1.39999,10.8618,0.16390314999999944,19.98928114,0.3005341299999955,19.700000000000003,0.2892811399999964
22.65169693,29.08491845,0.18610118,0.022667765,20.31471156,18,"Wellington Harbour, New Zealand",-41.27,174.85,marine,Fibrocapsa japonica strain CAWR-19,Fibrocapsa japonica,NA,NA,CAWR-19,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.975779107,0.016956757,0.294942259,0.302956663,10,0.305,5.772252331,34.85717079,good,good,good,-210.4789332,-0.008554706,1,1,1,1,1,18,22.5,0.29679037836391736,5.9,34.6,2.00006,15.7015,0.15169692999999995,29.084918458999997,0.25717078999999643,28.700000000000003,0.38491845899999433
22.29491187,24.90111734,0.26227299,0.068890873,17.68669798,24,SW Pacific Ocean,-36.3,174.81,marine,"Gephyrocapsa oceanica strain AB1, CAWPOT",Gephyrocapsa oceanica,NA,NA,"AB1, CAWPOT",NA,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.81239903,0.166936711,0.886993776,1.051500332,14,1.178350207,5.236139316,30.13725665,good,good,good,-286.9373587,-0.018583632,1,1,1,1,1,24,21.900000000000002,1.009733516165913,5.2,29.6,2.04637,18.4897,0.39491186999999783,24.901117334000002,0.5372566499999998,24.400000000000002,0.5011173339999999
15.46532963,18.39921116,0.449398741,-0.00630656,15.73266197,26,"South Atlantic, off South Africa",-34.28,17.18,marine,Calcidiscus leptoporus strain NS10-2,Calcidiscus leptoporus,NA,NA,NS10-2,NA,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.662141489,0.124556842,0.406950508,0.407292963,6,0.569,6.533056387,24.93226755,good,good,good,9.704694034,0.00155806,1,1,1,1,1,26,15.5,0.3941668528350724,6.7,24.8,1.64962,18.0842,-0.034670370000000617,18.399211162999997,0.13226754999999812,18.1,0.2992111629999954
23.58273862,22.78359671,0.221862391,0.062049227,19.963397960000002,30,"Indian Ocean, off S. Africa",-29.82,31.02,marine,Emiliania huxleyi strain S. Africa,Emiliania huxleyi,Coccolithus huxleyi,NA,S. Africa,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.944552532,0.067578574,0.765684912,0.861727998,8,0.879603772,8.571599607,31.35519631,good,good,good,-193.325183,-0.016346379,1,1,1,1,1,30,23.3,0.8352202299736627,8.6,31,1.73138,23.8129,0.28273861999999994,22.783596703,0.3551963100000002,22.4,0.38359670300000204
18.50424672,18.20218315,0.142703247,0.06891395,15.88693606,33,"South Atlantic, off Namibia",-23,14,marine,Calcidiscus leptoporus strain N482-1,Calcidiscus leptoporus,NA,NA,N482-1,NA,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.924121581,0.053828979,0.426494213,0.468550345,6,0.442,6.785844489,24.98802763,good,good,good,-90.14065475,-0.01494687,1,1,1,1,1,33,18.3,0.45121181821942735,6.800000000000001,24.6,1.56108,16.557499999999997,0.20424672000000044,18.202183141000003,0.38802762999999985,17.8,0.40218314100000185
