hour,temperature
0.5,20
1,20
1.5,20
2,20
2.5,20
3,20
3.5,20
4,20
4.5,20
5,20
5.5,20
6,20
6.5,20
7,20
7.5,20
8,20
8.5,20
9,20
9.5,20
10,20
10.5,20
11,20
11.5,20
12,20
12.5,30
13,30
13.5,30
14,30
14.5,30
15,30
15.5,30
16,30
16.5,30
17,30
17.5,30
18,30
18.5,30
19,30
19.5,30
20,30
20.5,30
21,30
21.5,30
22,30
22.5,30
23,30
23.5,30
24,30
0.5,20
1,20
1.5,20
2,20
2.5,20
3,20
3.5,20
4,20
4.5,20
5,20
5.5,20
6,20
6.5,20
7,20
7.5,20
8,20
8.5,20
9,20
9.5,20
10,20
10.5,20
11,20
11.5,20
12,20
12.5,30
13,30
13.5,30
14,30
14.5,30
15,30
15.5,30
16,30
16.5,30
17,30
17.5,30
18,30
18.5,30
19,30
19.5,30
20,30
20.5,30
21,30
21.5,30
22,30
22.5,30
23,30
23.5,30
24,30
