isolate.code,growth_rate,growth_rate_mean,Mean.x,SD,Mean.y,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
1,-0.23136649611311763,-0.25214950352750726,-1.55859,0.349318,-1.55859,12.60374739,17.31574077,0.21800623,0.034377373,11.34215425,"Terra Nova Bay, Ross Sea, Antarctica",-74.83,164.5,marine,Koliella antarctica strain SAG 2030,Koliella antarctica,NA,NA,SAG 2030,NA,antarctica,Koliella,Koliellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.999999871,3.27e-5,0.321963151,0.329094664,4,0.3,2.684283869,20.00002464,good,good,good,-40.32025666,-0.007766048,1,1,1,1,1,-1.55859,-0.25220569899272344,-0.25214950352750726,-9.21063e-4
11,0.3741744385844836,0.4449223269904171,0.8729975000000001,0.8847895,0.8729975000000001,4.248702399,10.43111649,0.643384278,0.029396341,3.850833118,"Southern Ocean, Indian sector",-58,62,marine,Pseudo-nitzschia turgiduloides,Pseudo-nitzschia turgiduloides,Nitzschia turgiduloides,NA,NA,NA,turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.981582556,0.032195509,0.720497959,0.724732101,12,0.728,-1.364725126,9.066391361,good,good,good,-4.634105254,-0.004082945,1,1,1,1,1,0.8729975000000001,0.4294013767042632,0.4449223269904171,-0.0396523
14,0.229738779256617,0.09390120794800043,10.8618,1.39999,10.8618,22.66390315,19.98928113,0.309317557,0.057277263,20.00589356,"Big Glory Bay, New Zealand",-46.98,168.12,marine,Emiliania huxleyi,Emiliania huxleyi,Coccolithus huxleyi,NA,NA,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.999974775,0.002154722,0.97287079,1.052731206,5,0.97595123,10.01125299,30.00053413,good,good,good,-111.0683409,-0.013905889,1,1,1,1,1,10.8618,0.09474007792401523,0.09390120794800043,8.56002e-4
18,0.20334286011061808,0.23892429351839037,15.7015,2.00006,15.7015,22.65169693,29.08491845,0.18610118,0.022667765,20.31471156,"Wellington Harbour, New Zealand",-41.27,174.85,marine,Fibrocapsa japonica strain CAWR-19,Fibrocapsa japonica,NA,NA,CAWR-19,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.975779107,0.016956757,0.294942259,0.302956663,10,0.305,5.772252331,34.85717079,good,good,good,-210.4789332,-0.008554706,1,1,1,1,1,15.7015,0.23519580981943494,0.23892429351839037,-0.00186413
30,0.830923493647433,0.8612437971629721,23.8129,1.73138,23.8129,23.58273862,22.78359671,0.221862391,0.062049227,19.963397960000002,"Indian Ocean, off S. Africa",-29.82,31.02,marine,Emiliania huxleyi strain S. Africa,Emiliania huxleyi,Coccolithus huxleyi,NA,S. Africa,NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.944552532,0.067578574,0.765684912,0.861727998,8,0.879603772,8.571599607,31.35519631,good,good,good,-193.325183,-0.016346379,1,1,1,1,1,23.8129,0.8330259169252787,0.8612437971629721,-0.0188265
33,0.392357328163059,0.4442407063091596,16.557499999999997,1.56108,16.557499999999997,18.50424672,18.20218315,0.142703247,0.06891395,15.88693606,"South Atlantic, off Namibia",-23,14,marine,Calcidiscus leptoporus strain N482-1,Calcidiscus leptoporus,NA,NA,N482-1,NA,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.924121581,0.053828979,0.426494213,0.468550345,6,0.442,6.785844489,24.98802763,good,good,good,-90.14065475,-0.01494687,1,1,1,1,1,16.557499999999997,0.4324552354312111,0.4442407063091596,-0.00967223
34,0.3898515312896453,0.3953845898555279,27.99375,1.612595,27.99375,22.29850642,28.62374145,0.54087277,-0.006470705,22.95764184,"Port Smith, near Broome, Western Australia",-18.51,121.8,marine,Isochrysis sp. strain PS11,Isochrysis,NA,NA,PS11,NA,NA,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.880323246,0.052812338,0.466208027,0.467207593,6,0.55,8.645771111,37.26951256,good,good,good,57.75840218,0.002462839,1,1,1,1,1,27.99375,0.39005041688211045,0.3953845898555279,-0.00410248
40,0.3121834982056153,0.31756946047648715,28.8008,1.34634,28.8008,23.21859481,21.68905433,2.368726056,-0.068578155,26.80931509,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Cylindrotheca closterium strain NT-6,Cylindrotheca closterium,Nitzschia closterium,NA,NT-6,NA,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.987616816,0.023385917,0.376747124,0.429103205,5,0.38,15.96478792,37.65384225,good,good,good,172.9007469,0.016946305,1,1,1,1,1,28.8008,0.315241117322525,0.31756946047648715,-0.00256902
49,1.9627983875933301,1.9702391074451922,27.834866666666667,0.6202206666666666,27.834866666666667,27.14348294,24.36362634,0.631231562,0.044536878,24.05133607,"Atlantic, off South America",5,-52,marine,Skeletonema tropicum clone S. trop.,Skeletonema tropicum,NA,NA,NA,S. trop.,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.921807465,0.207433115,1.84243655,1.978230702,10,2.079441542,11.8695229,36.23314924,good,good,good,-192.5415837,-0.013313699,1,1,1,1,1,27.834866666666667,1.9634332492101938,1.9702391074451922,-0.0353851
52,1.2872090934392761,1.285756465763862,27.872549999999997,0.7537265,27.872549999999997,26.85191783,22.35542442,0.319581137,0.055409614,23.67111214,Suriname,6,-54,marine,Odontella mobiliensis,Odontella mobiliensis,Biddulphia mobiliensis,NA,NA,NA,mobiliensis,Odontella,Triceratiaceae,Triceratiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.9553816,0.10573793,1.186328338,1.300390787,8,1.351637002,12.49339993,34.84882435,good,good,good,-165.4055948,-0.014804762,1,1,1,1,1,27.872549999999997,1.2768997016609331,1.285756465763862,-0.0311801
